Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,,
São Paulo,-23.62,-46.65,-3,802,,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,,
1,5,23,18.4,17.8,17.2,92.3,0.013783283,95,1.079,53.3,2,360,10,0,0,0,0,0,,,
1,5,24,18.6,18.1,17.6,92.3,0.014098367,96,1.078,54.3,4,330,10,0,0,0,0,0,,,
1,6,1,18.4,17.8,17.2,92.3,0.013783283,95,1.079,53.3,4,360,8,0,0,0,0,0,,,
1,6,2,18,17.4,16.8,92.2,0.01344126,95,1.080,52.1,0,0,8,0,0,0,0,0,,,
1,6,3,17.2,16.7,16.2,92.2,0.012876747,95,1.084,49.8,0,0,5,0,0,0,0,0,,,
1,6,4,17,16.5,16.0,92.1,0.012722375,95,1.084,49.2,2,330,6,0,0,0,0,0,,,
1,6,5,17,16.5,16.0,92.1,0.012722375,95,1.084,49.2,2,340,9,0,0,0,0,0,,,
1,6,6,17,16.5,16.0,92.1,0.012722375,95,1.084,49.2,2,320,9,23,11,3,7,8,,,
1,6,7,17.8,17,16.3,92.2,0.013008753,93,1.082,50.8,2,350,10,274,101,12,29,89,,,
1,6,8,19.9,18.1,17.0,92.2,0.013572571,85,1.073,54.3,5,350,9,577,262,66,121,196,,,
1,6,9,20.8,18.2,16.7,92.3,0.013315881,79,1.071,54.6,6,350,9,855,389,98,139,291,,,
1,6,10,22.7,18.6,16.4,92.3,0.013065376,69,1.065,55.9,7,340,6,1089,708,472,556,236,,,
1,6,11,23.2,19.7,17.9,92.3,0.014385764,73,1.061,59.8,5,340,9,1264,575,145,153,430,,,
1,6,12,25,20.1,17.7,92.2,0.014226583,65,1.053,61.2,9,340,8,1368,725,294,294,431,,,
1,6,13,25.3,20.4,18.0,92.2,0.014537608,65,1.052,62.3,14,340,8,1392,738,299,303,439,,,
1,6,14,26.4,21,18.5,92.1,0.014986351,63,1.046,64.6,15,350,6,1337,869,579,629,290,,,
1,6,15,27.3,21.3,18.6,92.1,0.015063512,60,1.043,65.7,14,310,8,1205,639,259,321,380,,,
1,6,16,27,21.5,19.0,92.1,0.015493854,63,1.043,66.5,8,300,8,1005,533,216,330,317,,,
1,6,17,25.6,21.6,19.7,92.0,0.016253324,71,1.046,67.0,7,310,9,752,342,86,174,256,,,
1,6,18,25.6,21.6,19.7,92.0,0.016253324,71,1.046,67.0,7,340,8,462,245,99,253,146,,,
1,6,19,26,21.5,19.4,92.0,0.015931917,68,1.045,66.6,6,320,8,155,82,33,80,49,,,
1,6,20,25.4,21,18.9,92.0,0.015423238,69,1.048,64.7,7,360,9,0,0,0,0,0,,,
1,6,21,22.5,20.1,18.8,92.2,0.015270011,81,1.061,61.3,10,350,9,0,0,0,0,0,,,
1,6,22,22,19.5,18.1,92.2,0.014620375,80,1.063,59.1,5,330,8,0,0,0,0,0,,,
1,6,23,21.4,19.5,18.4,92.3,0.014853542,84,1.066,59.1,8,330,5,0,0,0,0,0,,,
1,6,24,21,19.5,18.6,92.3,0.015020688,88,1.068,59.1,4,220,5,0,0,0,0,0,,,
1,7,1,21.4,19.5,18.4,92.4,0.014836205,84,1.068,59.1,4,300,6,0,0,0,0,0,,,
1,7,2,20.8,19.4,18.5,92.4,0.014945969,88,1.070,58.7,8,300,9,0,0,0,0,0,,,
1,7,3,19.9,18.8,18.0,92.3,0.014504542,91,1.072,56.7,3,270,9,0,0,0,0,0,,,
1,7,4,19,18.5,18.0,92.2,0.014486685,96,1.075,55.7,4,310,5,0,0,0,0,0,,,
1,7,5,19.2,18.5,17.9,92.2,0.014403198,94,1.074,55.7,4,320,6,0,0,0,0,0,,,
1,7,6,19.4,18.5,17.8,92.2,0.014319735,92,1.073,55.7,6,340,9,22,10,3,6,7,,,
1,7,7,19.3,18.4,17.7,92.3,0.014209676,92,1.075,55.3,4,340,9,271,123,31,75,92,,,
1,7,8,19.9,18.6,17.7,92.3,0.014230875,89,1.073,56.0,3,310,10,574,212,25,46,187,,,
1,7,9,20.5,19.4,18.6,92.4,0.015071374,91,1.070,58.8,3,350,10,852,315,38,53,278,,,
1,7,10,22.3,20,18.7,92.5,0.015155319,82,1.065,60.8,2,230,10,1088,402,48,57,354,,,
1,7,11,22.6,20,18.6,92.5,0.015029934,80,1.064,60.8,5,200,9,1263,575,145,153,430,,,
1,7,12,23.6,20.4,18.8,92.5,0.015192217,76,1.060,62.2,6,240,9,1367,622,157,157,465,,,
1,7,13,23.7,20.5,18.9,92.5,0.01529693,76,1.060,62.6,4,180,9,1392,633,160,162,474,,,
1,7,14,25.1,20.6,18.4,92.4,0.014877661,68,1.054,63.0,6,170,10,1337,495,59,64,436,,,
1,7,15,23.7,20.6,19.0,92.4,0.015462633,76,1.058,63.0,7,160,10,1206,446,53,66,393,,,
1,7,16,23.5,20.7,19.3,92.4,0.015694229,79,1.059,63.4,6,180,10,1007,372,44,68,328,,,
1,7,17,22.3,20.2,19.0,92.3,0.015480701,83,1.062,61.6,6,160,10,753,279,33,67,246,,,
1,7,18,22.7,20.8,19.7,92.3,0.016196863,85,1.059,63.9,7,130,10,463,171,20,52,151,,,
1,7,19,21.6,19.5,18.3,92.4,0.014752671,83,1.067,59.1,5,170,10,156,58,7,17,51,,,
1,7,20,20.4,19.9,19.4,92.4,0.015824508,96,1.070,60.6,5,120,10,0,0,0,0,0,,,
1,7,21,19.4,19,18.5,92.4,0.01497271,96,1.075,57.4,5,100,10,0,0,0,0,0,,,
1,7,22,19.8,19.3,18.8,92.5,0.015206549,96,1.074,58.4,5,120,10,0,0,0,0,0,,,
